date,sta,flight_no,origin,origin_code,airline_name,aircraft_type,tail_reg,icao_cat,cbp_flag,actual_landing,gate
31-Mar-26,13:15,EA3223,Glasgow (GLA),GLA,Aer Lingus Regional,AT76,EI-HPK,B,FALSE,,
31-Mar-26,13:15,EI3323,Manchester (MAN),MAN,Aer Lingus Regional,AT76,EI-FAT,B,FALSE,,
31-Mar-26,13:15,FI418,Reykjavik (KEF),KEF,Icelandair,B39M,TF-ICA,C,FALSE,,
31-Mar-26,13:20,FR1112,London (LGW),LGW,Ryanair,B738,9H-QAD,C,FALSE,,
31-Mar-26,13:20,MS775,Cairo (CAI),CAI,Egyptair (90 Years Sticker),A20N,SU-GFO,C,FALSE,,
31-Mar-26,13:22,N/A,Cork (ORK),ORK,Aer Lingus,A320,EI-DVN,C,FALSE,,
31-Mar-26,13:25,EI643,Prague (PRG),PRG,Aer Lingus,A320,EI-DES,C,FALSE,,
31-Mar-26,13:30,EI159,London (LHR),LHR,Aer Lingus,A20N,EI-NSE,C,FALSE,,
31-Mar-26,13:30,FR5569,Rome (FCO),FCO,Ryanair,B38M,EI-IFW,C,FALSE,,
31-Mar-26,13:35,EI403,Rome (FCO),FCO,Aer Lingus,A320,EI-DEH,C,FALSE,,
31-Mar-26,13:35,FR7045,Malaga (AGP),AGP,Ryanair,B738,SP-RKM,C,FALSE,,
31-Mar-26,13:40,EI661,Vienna (VIE),VIE,Aer Lingus,A320,EI-DVL,C,FALSE,,
31-Mar-26,13:40,EI3253,Edinburgh (EDI),EDI,Aer Lingus Regional,AT76,EI-GPN,B,FALSE,,
31-Mar-26,13:40,FR9588,Cluj-Napoca (CLJ),CLJ,Ryanair,B38M,EI-IHC,C,FALSE,,
31-Mar-26,13:45,EI3265,Birmingham (BHX),BHX,Aer Lingus Regional,AT76,EI-HPJ,B,FALSE,,
31-Mar-26,13:45,FR5195,Bucharest (OTP),OTP,Ryanair,B38M,EI-HGP,C,FALSE,,
